Date_Dimension_Key,Customer_Dimension_Key,Product_Dimension_Key,SalesTerritory_Dimension_Key,SalesPerson_Dimension_Key,OrderQty,Sales (USD)
151,19527,478,5,6,6,23153.23
151,19374,65,5,6,1,1457.33
151,19436,325,6,9,2,25179.84
151,19696,181,6,9,1,22180.82
151,19267,56,4,8,1,472.31
151,19600,325,1,14,1,27510.41
151,19282,478,1,14,6,16158.7
151,19754,180,4,8,1,5694.86
151,19676,477,3,4,3,6876.36
151,19316,325,6,9,1,27653.66
151,19449,157,1,14,1,807.26
151,19268,478,3,4,2,6893.25
151,19592,325,1,14,1,9153.61
151,19769,478,6,9,6,4709.66
151,19546,322,2,2,3,4216.03
151,19298,65,6,9,3,2018.34
151,19529,322,3,4,3,6434.08
151,19513,478,5,6,4,15992.74
151,19526,322,6,9,3,5992.54
151,19591,325,4,8,1,11036.4
151,19463,322,6,9,2,1011.66
151,19191,322,4,8,2,12832.9
151,19363,325,5,6,2,15524.07
151,19461,322,2,2,1,4363.71
151,19199,478,1,14,6,48204.07
151,19614,66,5,6,2,6301.63
151,19786,173,5,6,1,3082.02
151,19308,65,1,14,3,3899.68
151,19312,49,2,2,2,1416.93
151,19420,177,2,2,2,14323.12
151,19348,180,4,8,2,38291.21
151,19235,322,3,4,1,1460.61
151,19272,65,4,8,1,985.02
151,19694,325,4,8,4,43362.42
151,19193,478,5,6,6,23126.45
151,19251,325,5,6,3,23242.19
151,19660,478,5,6,2,44344.83
151,19551,52,5,6,1,472.31
151,11470,84,6,9,1,2700.63
151,18091,40,7,17,1,590.62
151,15565,40,1,14,1,3756.99
151,4203,51,4,8,1,772.5
151,705,40,9,13,1,2425.27
152,17347,80,4,8,1,3953.99
152,6326,84,9,13,1,2541.29
152,707,37,9,13,1,2396.92
152,713,38,9,13,1,2414.67
153,17323,81,4,8,1,3953.99
153,17318,81,4,8,1,3953.99
153,9744,54,10,16,1,1254.88
153,6053,82,9,13,1,2535.91
153,6219,83,9,13,1,2535.91
154,17308,83,1,14,1,3953.99
154,3215,80,8,15,1,2101.96
155,17303,84,4,8,1,3953.99
155,3293,80,10,16,1,6392.87
155,6185,83,9,13,1,2523.77
155,6231,80,9,13,1,2523.77
155,14951,51,9,13,1,493.08
156,17370,80,1,14,1,3953.99
156,17314,81,4,8,1,3953.99
156,2966,80,8,15,1,2080.28
156,3292,84,10,16,1,6399.07
157,3283,81,10,16,1,6401.15
157,4222,49,1,14,1,772.5
157,6222,80,9,13,1,2527.32
158,2960,80,8,15,1,2084.89
158,4262,49,4,8,1,772.5
158,6309,80,9,13,1,2521.84
159,17368,82,4,8,1,3953.99
159,940,40,10,16,1,6100
159,15563,40,4,8,1,3756.99
159,6331,83,9,13,1,2514.3
159,727,36,9,13,1,2371.46
159,17279,81,1,14,1,3953.99
160,17306,81,1,14,1,3953.99
160,6224,84,9,13,1,2500.94
160,704,40,9,13,1,2376.34
161,2963,80,8,15,1,2060.23
161,1308,81,7,17,1,614.3
161,3265,84,10,16,1,6375.34
161,6229,81,9,13,1,2507.6
162,17373,84,1,14,1,3953.99
162,3278,83,10,16,1,6369.18
162,709,41,9,13,1,2392.83
162,6333,82,9,13,1,2518.3
163,6216,80,9,13,1,2520.71
163,6318,81,9,13,1,2520.71
164,17325,83,4,8,1,3953.99
164,17327,82,1,14,1,3953.99
164,17338,83,1,14,1,3953.99
164,1293,80,7,17,1,611.94
164,1294,82,7,17,1,611.94
164,2967,80,8,15,1,2052.42
164,6184,84,9,13,1,2507.44
165,17319,81,1,14,1,3953.99
165,17372,80,4,8,1,3953.99
165,9643,49,10,16,1,1238.38
165,719,36,9,13,1,2374.18
166,17348,84,4,8,1,3953.99
166,2959,84,8,15,1,2038.87
166,6054,83,9,13,1,2511.9
166,6195,84,9,13,1,2511.9
167,17280,83,4,8,1,3953.99
167,6227,82,9,13,1,2517.5
167,6314,84,9,13,1,2517.5
167,712,40,9,13,1,2392.07
168,6220,82,9,13,1,2503.79
168,703,36,9,13,1,2361.55
169,17351,81,1,14,1,3953.99
169,11361,81,6,9,1,2671.25
169,17316,81,1,14,1,3953.99
169,4261,54,4,8,1,772.5
169,6226,81,9,13,1,2498.89
169,6228,83,9,13,1,2498.89
169,6050,82,9,13,1,2498.89
169,729,41,9,13,1,2374.38
170,2962,83,8,15,1,2025.71
170,6217,80,9,13,1,2498.57
170,720,39,9,13,1,2374.08
170,14954,52,9,13,1,488.15
171,1301,80,7,17,1,604.3
171,6197,81,9,13,1,2501.26
171,6218,81,9,13,1,2501.26
171,6322,81,9,13,1,2501.26
172,17369,84,4,8,1,3953.99
172,1303,80,7,17,1,611.76
172,1309,80,7,17,1,611.76
172,19087,38,8,15,1,1949.56
172,941,37,10,16,1,6004.45
172,15567,37,1,14,1,3729.36
172,15559,38,1,14,1,3756.99
172,6186,83,9,13,1,2502.52
172,6325,81,9,13,1,2502.52
172,702,38,9,13,1,2377.84
172,731,41,9,13,1,2377.84
173,17317,81,4,8,1,3953.99
173,7658,48,7,17,1,120.42
173,6047,81,9,13,1,2512.7
173,6223,84,9,13,1,2512.7
173,6338,81,9,13,1,2512.7
174,11412,80,6,9,1,2674.32
174,3285,80,10,16,1,6430.3
174,1295,81,7,17,1,617.73
175,11443,83,6,9,1,2679.4
175,3287,84,10,16,1,6422.98
175,4212,53,1,14,1,772.5
175,6225,81,9,13,1,2526.67
176,1313,81,7,17,1,611.76
176,2961,82,8,15,1,2051.78
176,6052,84,9,13,1,2510.15
176,706,39,9,13,1,2385.09
176,728,40,9,13,1,2385.09
177,17364,81,4,8,1,3953.99
177,18092,36,7,17,1,576.11
177,15568,36,1,14,1,3729.36
177,6196,80,9,13,1,2507.6
177,6198,83,9,13,1,2507.6
177,6221,84,9,13,1,2507.6
177,6230,81,9,13,1,2507.6
177,708,40,9,13,1,2382.67
178,17353,81,4,8,1,3953.99
178,17365,84,4,8,1,3953.99
178,17371,82,4,8,1,3953.99
178,9644,48,10,16,1,1252.44
